"","Domain","Phylum","Class","Order","Family","Genus","OTU.rep"
"OTU1246","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","HQ673742.1.1447"
"OTU861","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","U75254.1.1466"
"OTU2187","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","FJ494890.1.1458"
"OTU1312","Bacteria","Gemmatimonadetes","Gemmatimonadetes","BD2-11 terrestrial group","","","HQ673034.1.1523"
"OTU1018","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","MNG7","","HQ672389.1.1475"
"OTU1304","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996 marine group","","HQ674189.1.1476"
"OTU1420","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","uncultured","HQ673550.1.1502"
"OTU1931","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","JQ800676.1.1461"
"OTU2705","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","JQ661177.1.2718"
"OTU1167","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","uncultured","DQ396156.1.1469"
"OTU1248","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncultured","","HQ672275.1.1501"
"OTU331","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","HQ673941.1.1251"
"OTU911","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ672972.1.1520"
"OTU1061","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GQ375274.1.1522"
"OTU784","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GQ351140.1.1516"
"OTU595","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1","","HQ672606.1.1437"
"OTU963","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ673598.1.1478"
"OTU431","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","Candidatus Pelagibacter","HQ672813.1.1446"
"OTU1021","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ672971.1.1481"
"OTU3252","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Stakelama","EU581829.1.1412"
"OTU1952","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","AJ294340.1.1296"
"OTU920","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ672646.1.1481"
"OTU1174","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","HQ673559.1.1477"
"OTU1530","Archaea","Thaumarchaeota","Marine Group I","","","","AB193960.1.1440"
"OTU1471","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","JL-ETNP-Y6","","HQ673891.1.1502"
"OTU1200","Archaea","Thaumarchaeota","Marine Group I","","","","JN563792.1.917"
"OTU1388","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","HQ673022.1.1510"
"OTU780","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","JX879031.1.1407"
"OTU1768","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","uncultured","DQ396208.1.1454"
"OTU502","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","HQ672635.1.1436"
"OTU725","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","EF572866.1.1525"
"OTU580","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","AACY020553637.768.2309"
"OTU1012","Bacteria","Proteobacteria","Gammaproteobacteria","34P16","","","FJ745229.1.1369"
"OTU2230","Bacteria","Proteobacteria","Gammaproteobacteria","34P16","","","GU451626.1.1246"
"OTU985","Bacteria","Chloroflexi","SAR202 clade","","","","AY704387.1.1461"
"OTU71","Bacteria","Cyanobacteria","Chloroplast","","","","HQ672001.1.1446"
